job_id,키워드,수집일시,등록일,기업명,공고제목,직무카테고리,근무지역,경력,학력,마감일,공고링크
6231002,신입,2026-07-20 01:20:09,2026-06-29,"Gigabyte Technology, LLC",U 서버 하드웨어 기술지원 엔지니어FAE,,서울 용산구,인턴.신입,,채용시,https://www.peoplenjob.com/jobs/6231002
6230679,신입,2026-07-20 01:20:09,2026-06-29,크림슨인터랙티브코리아,U Enago한국지사_고객지원팀(CS)_사원급(신입사원 지원가능),,서울 강남,인턴.신입,,채용시,https://www.peoplenjob.com/jobs/6230679
6228621,신입,2026-07-20 01:20:09,2026-06-25,NEXUSHR,넥서스에이치알 컨설턴트 채용,,서울 강남,인턴.신입 / 대리.과장 / 팀장.부장,,채용시,https://www.peoplenjob.com/jobs/6228621
6228607,신입,2026-07-20 01:20:09,2026-06-25,Deloitte,[딜로이트 안진회계법인] 경영자문부문 부동산본부 정규직 전환형 인턴십,,서울 영등포구,인턴.신입,,07.20,https://www.peoplenjob.com/jobs/6228607
6228293,신입,2026-07-20 01:20:09,2026-06-25,콘센트릭스,U 모바일 Pay CS 글로벌 담당자,,경기도 수원시 영통구 삼성로 210,인턴.신입 / 사원,,07.31,https://www.peoplenjob.com/jobs/6228293
6227768,신입,2026-07-20 01:20:09,2026-06-24,더파운더즈,[ANUA] 글로벌 아마존 AMD 단기 인턴 (제2외국어 우대),,서울 강남,인턴.신입,,채용시,https://www.peoplenjob.com/jobs/6227768
6227724,신입,2026-07-20 01:20:09,2026-06-24,마크비전,[글로벌기업/재택가능/신입O] Brand Protection Specialist,,서울 / 서울 강남,인턴.신입 / 사원,,07.24,https://www.peoplenjob.com/jobs/6227724
6227118,신입,2026-07-20 01:20:09,2026-06-23,(주)핀커스코리아,[그룹계열 우량기업] 고분자 생체소재 의료기기 연구원,,강원도 / 춘천시,인턴.신입 / 사원 / 대리.과장,,07.23,https://www.peoplenjob.com/jobs/6227118
6226530,신입,2026-07-20 01:20:09,2026-06-23,BAT Rothmans,[British American Tobacco] Export TLB Planner (Logistics),,사천 sacheon,인턴.신입 / 사원,,07.23,https://www.peoplenjob.com/jobs/6226530
6226318,신입,2026-07-20 01:20:09,2026-06-22,엔터웨이파트너스,IT담당-중견 제조사,,서울,인턴.신입 / 사원 / 대리.과장,,07.22,https://www.peoplenjob.com/jobs/6226318
6226304,신입,2026-07-20 01:20:09,2026-06-22,엔터웨이파트너스,품질경영(품질관리)-중견 제조사,,충남,인턴.신입 / 사원 / 대리.과장,,07.22,https://www.peoplenjob.com/jobs/6226304
6226103,신입,2026-07-20 01:20:09,2026-06-22,에임즈인터내셔널코리아,[외국계 식품회사] QA Inspector (품질관리 / 신입 ~ 경력 7년 / 평택 근무),,경기 평택,인턴.신입 / 사원 / 대리.과장,,07.22,https://www.peoplenjob.com/jobs/6226103
6225871,신입,2026-07-20 01:20:09,2026-06-22,Hitachi Energy Korea,(신입) Electrical Engineer 변압기 전기설계,,충남 천안,인턴.신입,,07.22,https://www.peoplenjob.com/jobs/6225871
6226314,신입,2026-07-20 01:20:09,2026-06-22,커리어텍,[남영역 / HJ중공업] 사무직(플랜트사업팀) 채용,,서울 용산구,인턴.신입,,07.22,https://www.peoplenjob.com/jobs/6226314
6226266,신입,2026-07-20 01:20:09,2026-06-22,Deloitte,[딜로이트 안진회계법인] 2026 신입회계사 정기채용,,서울 여의도,인턴.신입,,07.24,https://www.peoplenjob.com/jobs/6226266
6242828,글로벌,2026-07-20 01:20:09,2026-07-17,DHL Global Forwarding Korea,DHL 글로벌 포워딩 코리아 Sales Support Executive 경력직 모집(서울),,서울,인턴.신입 / 사원,,07.27,https://www.peoplenjob.com/jobs/6242828
6242234,글로벌,2026-07-20 01:20:09,2026-07-16,삼일회계법인,[삼일회계법인] 조직문화 데이터 & 소통 플랫폼 지원 인턴 채용,,서울 용산구,인턴.신입,,07.27,https://www.peoplenjob.com/jobs/6242234
6242106,글로벌,2026-07-20 01:20:09,2026-07-16,REED Korea,U Junior Accountant (경력 1~4년),,서울 송파구,인턴.신입 / 사원,,채용시,https://www.peoplenjob.com/jobs/6242106
6241918,글로벌,2026-07-20 01:20:09,2026-07-16,CHARLES & KEITH,CHARLES & KEITH 바잉MD,,서울 강남,인턴.신입 / 사원,,채용시,https://www.peoplenjob.com/jobs/6241918
6241469,글로벌,2026-07-20 01:20:09,2026-07-15,더파운더즈,[더파운더즈] HRM Operations 매니저,,서울 강남,인턴.신입 / 사원,,채용시,https://www.peoplenjob.com/jobs/6241469
6241137,글로벌,2026-07-20 01:20:09,2026-07-15,삼일회계법인,[삼일회계법인] 조직문화 & 변화관리 지원 인턴 채용,,서울 용산구,인턴.신입,,07.24,https://www.peoplenjob.com/jobs/6241137
